year,month,file,row_count,date,mom_change,mom_change_pct
2011,3,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-03.parquet,16066351,2011-03-01,1863542.0,13.120939667638986
2011,4,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-04.parquet,14718973,2011-04-01,-1347378.0,-8.38633489334324
2011,5,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-05.parquet,15554868,2011-05-01,835895.0,5.679030731288104
2011,6,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-06.parquet,15097861,2011-06-01,-457007.0,-2.9380320038717156
2011,7,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-07.parquet,14742561,2011-07-01,-355300.0,-2.353313492553677
2011,8,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-08.parquet,13262441,2011-08-01,-1480120.0,-10.039775314478938
2011,9,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-09.parquet,14626748,2011-09-01,1364307.0,10.286997695220656
2011,10,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-10.parquet,15697804,2011-10-01,1071056.0,7.322584623731809
2011,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-11.parquet,14525863,2011-11-01,-1171941.0,-7.465636594774661
2011,12,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2011/yellow_tripdata_2011-12.parquet,14925983,2011-12-01,400120.0,2.7545351350208858
2012,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-01.parquet,13058348,2012-01-01,-1867635.0,-12.512643220885355
2012,2,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-02.parquet,13361345,2012-02-01,302997.0,2.3203317908207177
2012,3,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-03.parquet,16146923,2012-03-01,2785578.0,20.8480358826151
2012,4,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-04.parquet,13427802,2012-04-01,-2719121.0,-16.83987097727536
2012,5,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-05.parquet,13965253,2012-05-01,537451.0,4.0025240169612175
2012,6,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-06.parquet,15096468,2012-06-01,1131215.0,8.100211288689142
2012,7,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-07.parquet,14379307,2012-07-01,-717161.0,-4.750521777676742
2012,8,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-08.parquet,14381752,2012-08-01,2445.0,0.01700360107756982
2012,9,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-09.parquet,14546854,2012-09-01,165102.0,1.147996433257914
2012,10,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-10.parquet,14522315,2012-10-01,-24539.0,-0.1686893949715884
2012,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-11.parquet,13776030,2012-11-01,-746285.0,-5.1388845373482095
2012,12,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2012/yellow_tripdata_2012-12.parquet,14696610,2012-12-01,920580.0,6.682476736766696
2013,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-01.parquet,14776617,2013-01-01,80007.0,0.5443908493183214
2013,2,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-02.parquet,13990176,2013-02-01,-786441.0,-5.322199255756576
2013,3,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-03.parquet,15749228,2013-03-01,1759052.0,12.573480133487958
2013,4,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-04.parquet,14652628,2013-04-01,-1096600.0,-6.962880974229336
2013,5,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-05.parquet,15285052,2013-05-01,632424.0,4.3161131231885586
2013,6,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-06.parquet,14385456,2013-06-01,-899596.0,-5.885462476673286
2013,7,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-07.parquet,13823840,2013-07-01,-561616.0,-3.904054205859031
2013,8,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-08.parquet,11681525,2013-08-01,-2142315.0,-15.497249678815727
2013,9,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-09.parquet,14107693,2013-09-01,2426168.0,20.769274559614438
2013,10,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-10.parquet,15004556,2013-10-01,896863.0,6.357261956295757
2013,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-11.parquet,14388451,2013-11-01,-616105.0,-4.106119501303473
2013,12,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2013/yellow_tripdata_2013-12.parquet,13971118,2013-12-01,-417333.0,-2.90047205220354
2014,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2014/yellow_tripdata_2014-01.parquet,13782517,2014-01-01,-188601.0,-1.3499349157311546
